"shortnam","euro1900","avexpr","logpgp95","cons1","democ00a","cons00a","extmort4","logem4","loghjypl","baseco"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,6.9545455,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",0,NA,NA,1,1,1,93.699997,4.5400982,NA,NA
"AGO",8,5.3636365,7.7706451,3,0,1,280,5.6347895,-3.4112477,1
"AK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB",NA,NA,7.6591716,NA,NA,NA,NA,NA,NA,NA
"ANT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARE",0,7.181818,9.8042192,NA,NA,NA,NA,NA,NA,NA
"ARG",60.000004,6.3863635,9.1334591,1,3,3,68.900002,4.232656,-0.8722738,1
"ARM",0,NA,7.6824822,NA,NA,NA,NA,NA,NA,NA
"ASM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATG",NA,NA,9.1083078,NA,NA,NA,NA,NA,NA,NA
"AUS",98,9.318182,9.8979721,7,10,7,8.5500002,2.1459312,-0.17078833,1
"AUT",100,9.727273,9.9748774,NA,NA,NA,NA,NA,-0.34389976,NA
"AZE",0,NA,7.3065314,NA,NA,NA,NA,NA,NA,NA
"BDI",0,NA,6.5652652,5,0,1,280,5.6347895,-3.5065579,NA
"BEL",100,9.681818,9.9928713,NA,NA,NA,NA,NA,-0.17912664,NA
"BEN",0,NA,7.0900769,3,0,1,266.51999,5.5854492,-2.8302178,NA
"BFA",0,4.4545455,6.84588,3,0,1,280,5.6347895,-3.5404594,1
"BGD",0,5.1363635,6.877296,7,0,1,71.410004,4.2684379,-2.0635681,1
"BGR",100,8.909091,8.4574432,NA,NA,NA,NA,NA,NA,NA
"BHR",0,8,9.6859531,NA,NA,NA,NA,NA,NA,NA
"BHS",10,7.5,9.2854481,NA,NA,NA,85,4.4426513,NA,1
"BIH",100,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLR",100,NA,8.340456,NA,NA,NA,NA,NA,NA,NA
"BLZ",20,NA,8.3779316,NA,NA,1,163.3,5.0955892,NA,NA
"BMU",NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"BOL",30.000002,5.6363635,7.9266024,3,4,3,71,4.2626801,-1.9661129,1
"BRA",40,7.909091,8.7274542,1,1,3,71,4.2626801,-1.1425642,1
"BRB",20,NA,9.2667208,NA,NA,1,85,4.4426513,-0.90634036,NA
"BRN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BTN",0,NA,NA,1,0,1,NA,NA,NA,NA
"BUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BWA",0,7.7272725,8.855093,7,0,1,NA,NA,-2.3644605,NA
"CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAF",0,NA,7.192934,1,0,1,280,5.6347895,-3.4112477,NA
"CAN",99,9.727273,9.9864492,7,9,7,16.1,2.7788193,-0.060812157,1
"CHE",100,10,10.120211,NA,NA,NA,NA,NA,-0.13467489,NA
"CHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHL",50,7.818182,9.336092,1,5,7,68.900002,4.232656,-1.3356012,1
"CHN",0,7.7727275,7.8860812,NA,NA,NA,118,4.7706847,-2.8134108,NA
"CIV",0,7,7.4442487,1,0,1,668,6.5042882,-2.3330443,1
"CMR",0,6.4545455,7.5010819,3,0,1,280,5.6347895,-2.5770221,1
"COG",0,4.681818,7.420579,4,0,1,240,5.480639,-2.1037343,1
"COL",20,7.318182,8.8098631,3,3,5,71,4.2626801,-1.3318062,1
"COM",5,NA,7.3839893,5,0,1,NA,NA,-3.3524072,NA
"CPR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CPV",5,NA,7.9793391,NA,NA,NA,NA,NA,-2.5770221,NA
"CRI",20,7.0454545,8.7948246,3,10,7,78.099998,4.3579903,-1.3586792,1
"CT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB",NA,NA,NA,3,NA,3,NA,NA,NA,NA
"CYM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CYP",NA,NA,NA,NA,NA,NA,NA,NA,-0.80743629,NA
"CZE",100,8.863636,9.2043219,NA,NA,NA,NA,NA,-1.5558971,NA
"DDR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",100,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",100,NA,9.9354706,NA,NA,NA,NA,NA,-0.20089293,NA
"DJI",0,NA,NA,NA,NA,NA,26,3.2580965,NA,NA
"DMA",10,NA,8.330864,NA,NA,NA,85,NA,NA,NA
"DNK",100,9.727273,10.005592,NA,NA,NA,NA,NA,-0.37106368,NA
