"","rgdpo","pop","emp","csh_g","hc","year.x","scode","country","polity2","log_rgdp","rgdppc","log_rgdppc","log_pop"
"103",50598.65625,15.854323,5.95509576797485,0.130596667528152,1.59844470024109,2018,"SEN","Senegal",7,10.8316802985988,3191.47378604561,8.06823809098405,2.76344220761477
"104",15149.11328125,7.65015,2.47238802909851,0.307971179485321,1.6291264295578,2018,"SIE","Sierra Leone",7,9.62569727993418,1980.23741773037,7.59097202444483,2.03472525548935
"105",476500.75,5.757499,3.71476626396179,0.109961606562138,4.15445375442505,2018,"SIN","Singapore",-2,13.0742245760521,82761.7599238836,11.3237213970259,1.75050317902619
"106",146127.890625,5.453014,2.43950939178467,0.279592603445053,3.82120704650879,2018,"SLO","Slovakia",10,11.8922374804436,26797.6371645112,10.1960689971088,1.69616848333472
"107",69825.75,2.077837,1.02623057365417,0.221440479159355,3.55342221260071,2018,"SLV","Slovenia",10,11.1537581318943,33605.01810296,10.4224306831023,0.731327448791925
"108",1849504.75,46.692858,19.5293655395508,0.183798119425774,2.96457171440125,2018,"SPN","Spain",10,14.430428458513,39610.0138055375,10.5868372391526,3.84359121936047
"109",275685.15625,21.228763,8.01500034332275,0.16442745923996,2.86095976829529,2018,"SRI","Sri Lanka",6,12.5270147553376,12986.397570598,9.47165774792383,3.05535700741374
"110",9804.4208984375,1.136281,0.305421501398087,0.240855425596237,2.09102296829224,2018,"SWA","Eswatini",-7,9.19058867502366,8628.51785644352,9.062828026158,0.127760648865657
"111",516270.25,9.971638,4.99561405181885,0.26756688952446,3.42593097686768,2018,"SWD","Sweden",10,13.1543856476697,51773.8660388594,10.8546407843119,2.29974486335779
"112",636190.75,8.525611,4.97150182723999,0.0788283497095108,3.69508242607117,2018,"SWZ","Switzerland",10,13.3632537187385,74621.1327258539,11.2201790265829,2.14307469215555
"113",116457.6015625,16.945057,4.72071504592896,0.37946480512619,2.59381318092346,2018,"SYR","Syrian Arab Republic",-9,11.6652825506616,6872.659180934,8.83530638178412,2.82997616887749
"114",34027.296875,9.100835,2.60101795196533,0.338335543870926,3.04147958755493,2018,"TAJ","Tajikistan",-3,10.4349183307519,3738.92031610286,8.22655216319689,2.20836616755503
"115",1075540,23.58008,11.4350004196167,0.178800985217094,3.32381677627563,2018,"TAW","Taiwan",10,13.888333419002,45612.2286268749,10.7279311311929,3.16040228780915
"116",126885.109375,54.733589,22.9112396240234,0.0705911740660667,1.70375418663025,2018,"TAZ","U.R. of Tanzania: Mainland",3,11.7510373054069,2318.2311208388,7.7485597259348,4.00247757947207
"117",1175339.75,69.428453,37.7916793823242,0.182324022054672,2.77352070808411,2018,"THI","Thailand",-3,13.9770678127011,16928.7907077521,9.73677104361866,4.24029676908241
"118",16947.33984375,7.889093,3.08190393447876,0.168700084090233,1.79449903964996,2018,"TOG","Togo",-2,9.73786615912033,2148.19876552983,7.6723849865105,2.06548117260983
"119",38291.8359375,1.389843,0.615504264831543,0.136402398347855,3.07657313346863,2018,"TRI","Trinidad and Tobago",9,10.5529919915459,27551.1953058727,10.2238012004229,0.329190791123022
"120",127727.5546875,11.565201,3.64583444595337,0.207437142729759,2.65475988388062,2018,"TUN","Tunisia",7,11.757654795467,11044.1275242428,9.30965411990866,2.44800067555831
"121",2264386.75,82.340088,28.7409992218018,0.192198604345322,2.47905468940735,2018,"TUR","Turkey",-4,14.6328145296878,27500.4169293577,10.2219564446073,4.41085808508056
"122",633896.625,9.630959,5.73991298675537,0.111509010195732,2.74340224266052,2018,"UAE","United Arab Emirates",-8,13.3596411680745,65818.640179031,11.0946583625913,2.26498280548317
"123",85139.546875,42.729036,14.8355283737183,0.154005348682404,2.38032293319702,2018,"UGA","Uganda",-1,11.3520469172515,1992.54546428335,7.59716822811213,3.75487868913934
"124",2974124.5,67.141684,32.6317443847656,0.190245449542999,3.76570081710815,2018,"UKG","United Kingdom",8,14.905460267937,44296.2452356721,10.6986551947813,4.20680507315572
"125",561325.125,44.246156,16.3806667327881,0.332759886980057,3.28103017807007,2018,"UKR","Ukraine",4,13.2380555620878,12686.4156289645,9.44828706446375,3.78976849762402
"126",70566.3828125,3.449285,1.62894630432129,0.16247184574604,2.75375962257385,2018,"URU","Uruguay",10,11.1643091459503,20458.2639046933,9.92614218276234,1.23816696318796
"127",20155260,327.096265,156.675903320312,0.114803090691566,3.74402379989624,2018,"USA","United States",8,16.818975854475,61618.7408926849,11.0287213385223,5.7902545159527
"128",10912.2373046875,28.887118,12.0869102478027,0.210369929671288,2.8578462600708,2018,"VEN","Venezuela (Bolivarian Republic of)",-3,9.29764012697723,377.754447663748,5.93424437517684,3.36339575180039
"129",50024.23046875,28.498683,5.37051868438721,0.286328822374344,1.78661465644836,2018,"YEM","Yemen",0,10.8202627764001,1755.31727093319,7.47040490071953,3.34985787568055
"130",84834.7734375,84.068091,24.3812828063965,0.0660936236381531,1.67250561714172,2018,"ZAI","D.R. of the Congo",-3,11.3484608018481,1009.11977931674,6.9168337242265,4.43162707762164
"131",55459.12109375,17.351708,5.0329909324646,0.152809366583824,2.64429807662964,2018,"ZAM","Zambia",6,10.9234014714739,3196.17648555116,8.06971052612225,2.85369094535163
"132",43420.8984375,14.438802,6.71495199203491,0.269799411296844,2.68062973022461,2018,"ZIM","Zimbabwe",4,10.6786961350077,3007.23691879008,8.00877696897365,2.66991916603406
